CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
851924,AJA,مهام الأجهزة الأمنية بين القمع والحماية,1,2830,100.0
851018,AJA,الكنيسة الأنجليكانية في كندا والسكان الأصليون,1,1682,100.0
851017,AJA,الاتّجار بالفتيات في إيطاليا,1,1646,100.0
851016,AJA,تفاصيل محاولة اغتيال البابا في الفلبين,2,1728,100.0
851015,AJA,تفاصيل مقتل الأسرة المالكة النيبالية,1,1678,100.0
851013,AJA,ناورو: من الازدهار إلى الأزمات,1,1680,100.0
851012,AJA,ماليزيا بين قانون الطوارئ والديمقراطية,2,1689,100.0
851011,AJA,العلمانية التركية والحرب ضد التدين,1,1549,100.0
851010,AJA,نضال المرأة النيوزيلندية,3,1683,100.0
851009,AJA,المخابرات الباكستانية والأزمة الأفغانية,2,1544,100.0
851008,AJA,مهراجاوات الهند.. غنى فاحش برغم فقدان السلطة,1,1642,100.0
851007,AJA,اليابان وقرارات حظر صيد الحيتان,1,1594,100.0
849715,AJA,حرب آسام.. في سبيل الشاي أم الاستقلال؟,1,1748,100.0
849710,AJA,سرطان المستوطنات وجفاف بحر آرال,1,1696,100.0
849697,AJA,مؤسسات الأم تريزا الخيرية في الميزان,2,1700,100.0
849692,AJA,محاكمة أنور إبراهيم,2,2757,100.0
849690,AJA,"""المدن البطيئة"".. صرعة إيطالية",1,1666,100.0
849688,AJA,الإسكندرية تنفض الغبار عن مكتبتها التاريخية,1,1670,100.0
849686,AJA,أضواء هوليود تهدد إرث كمبوديا,2,1574,100.0
849685,AJA,رئيس إندونيسيا في مرمى الاحتجاجات,1,1562,100.0
849684,AJA,الإيدز في بابوا غينيا الجديدة,2,1585,100.0
849682,AJA,السياسة والثراء في تايلند,1,1683,100.0
849679,AJA,الآثار الصينية المسروقة,1,1677,100.0
849313,AJD,حراس الديموقراطية,1,3366,100.0
849312,AJD,هنا الوطن,1,3288,100.0
849307,AJD,الحركة الطلابية التونسية,1,3192,100.0
849255,AJA,التغيرات السياسية في قطر,1,2772,100.0
849254,AJA,واشنطن في ميزان المصداقية,1,2788,100.0
848948,AJA,حقيقة الصراع في دارفور,1,4190,100.0
848947,AJA,العلاقات بين أميركا والأكراد,1,4206,100.0
848942,AJA,معوقات الإصلاح في العالم العربي,1,2814,100.0
848941,AJA,العراق يشتعل والولايات المتحدة تنسحب,2,4190,100.0
848937,AJA,الثقافة العربية في معرض فرانكفورت للكتاب,1,4215,100.0
848935,AJA,الدول العربية وتحدي الإصلاح التربوي,1,4202,100.0
848181,AJA,ملياردير يطمح إلى أن يصبح عمدة نيويورك,4,1568,100.0
846342,AJA,أثرياء الإنترنت.. حين تتبخر أحلام الربح السريع,1,1698,100.0
846340,AJA,صراع الصراصير في الصين,3,1504,100.0
846301,AJA,القدس وخطط التهويد,1,1650,100.0
845745,AJA,معرض الشارقة وكتب الأطفال,1,1461,100.0
845609,AJA,بين الأدب الإسلامي والأدب العربي,1,1622,100.0
845608,AJA,لوحات من زمن الحرب,1,1627,100.0
