source,SERIES_ID,series_title,unique_viewers,total_views
Originals,3409,خيال أمـ ـجد؟,32317,77656
AJD,3125,صدام حسين.. بين الأسطورة والواقع,17427,27825
Other,2678,شو قالوا بالعبري,11592,17707
AJA,2207,ما خفي أعظم,10393,19157
Originals,2407,باب حوار,8818,20838
Originals,2276,حكم وحكمة,7498,13855
Originals,3433,كليبات 360,6904,7939
AJA,2176,فوق السلطة,6276,11972
Originals,3159,عن السينما,5028,12591
Originals,3385,الطبيب الأخير,4819,6835
Other,2341,المخبر الاقتصادي,4520,8575
Originals,2393,الشبكة,4328,8493
Other,3343,النصيرات 274.. مجزرة الرهائن,3848,6712
Originals,3132,قصتي,3816,7079
AJA,2684,المرصد,3333,5376
AJA,2219,شاهد على العصر,2605,13513
AJA,2210,المقابلة,2540,5592
AJA,2192,حياة ذكية,2275,3727
AJA,2208,تأملات,2197,4890
Originals,2969,مستشفى الشفاء.. جرائم مدفونة,2060,2916
AJA,2163,الاتجاه المعاكس,1932,4825
Other,2351,السليط الإخباري,1797,3643
AJA,2164,للقصة بقية,1725,2537
AJA,2715,شبكات,1509,2855
Other,2354,الجهبذ,1502,2509
AJD,3432,هلال في وجه النازية,1497,2241
AJA,2149,الجريمة السياسية,1429,3254
Originals,3112,ثمن الحرب على إسرائيل,1071,2693
Atheer,2279,بودكاست البلاد,1050,2917
Originals,2408,المحطة,1023,2234
Atheer,2897,بودكاست ملهمات,949,1669
AJA,2137,من واشنطن,934,1721
Other,2615,المدوان,871,1770
AJA,2140,موازين,848,1837
Other,3297,مع الحكيم,836,1191
Atheer,2274,بودكاست مغارب,830,2764
Atheer,3127,مع تيسير,821,8061
Originals,3397,محاكمات,793,1180
Originals,2342,الورشة,783,1759
LIVE,3077,عز الدين القسام,769,2213
AJA,2150,الصندوق الأسود,736,1992
LIVE,3048,فتح الأندلس,709,3612
Originals,2894,قهوة النواوي,663,1168
AJA,2183,سري للغاية,645,2267
Originals,2698,المتحري.. المخدرات والنظام,606,1566
LIVE,3059,الحجاج بن يوسف الثقفي,602,5394
Originals,2923,في مثل هذا الأسبوع,566,1340
Originals,2788,غزة.. صوت الحياة والموت,551,722
Originals,2275,يوميات مقاتل,519,804
Atheer,2273,بودكاست حكايات أفريقية,482,1392
AJA,2528,بلا حدود,475,1214
LIVE,3051,الإمام أحمد بن حنبل,475,4132
AJA,2169,المتحري,474,810
LIVE,3074,"مسلسل ""ذي قار"": يوم من أيام العرب",434,4029
Other,2355,الدحيح,420,889
Other,2814,كليبات AJ+,407,497
Originals,3026,رفقا,389,890
Other,2157,رسالة إلى الأرض,389,1283
LIVE,3062,مسلسل القعقاع بن عمرو التميمي,376,2124
Originals,3034,في رحاب الشام,371,1004
Originals,3169,مواطنون درجة ثانية,362,708
AJA,2194,الجانب الآخر,355,550
Originals,2576,رحلة,346,779
AJA,2467,المسافر,341,1066
AJA,2220,عن السينما,340,1045
Originals,2838,أنت,335,930
Atheer,2278,بودكاست ذوو الشأن,327,606
Other,2357,فلسطيني,320,447
LIVE,3075,مسلسل أبو جعفر المنصور,315,2151
AJD,3040,العلماء المسلمون,312,604
Atheer,2329,بودكاست ضيف شعيب,289,585
Originals,2287,العمارة والإنسان,282,842
Originals,2288,خلف الأبواب المغلقة,282,486
AJD,3123,دولة قناة السويس,275,446
AJD,2153,الستينيات,274,471
Atheer,2938,بودكاست مشارق,270,598
AJA,2145,لقاء خاص,266,734
AJA,2142,المسافة صفر,264,507
AJD,2996,الجزائر سقوط الأسوار,259,615
Originals,2960,عيون غزة,259,350
AJA,2308,زيارة خاصة,248,622
AJA,2135,الشريعة والحياة في رمضان,244,607
AJA,2170,تحقيق خاص,235,501
AJD,2378,ثالث الرحابنة,228,380
Other,3322,ليسوا أرقاما,228,396
Originals,2828,طريق الموت,222,323
Originals,2829,مراجعات ريتا,199,364
AJA,2209,نهايات غامضة,192,486
AJA,2185,الشريعة والحياة,191,449
